'042239',1951,1,48,37.7,27.4
'042239',1951,2,49.3,39.1,29
'042239',1951,3,53,42.4,31.8
'042239',1951,4,56.7,46.3,36
'042239',1951,5,66,54.1,42.2
'042239',1951,6,71.7,57.5,43.3
'042239',1951,7,82.7,69.6,56.5
'042239',1951,8,81.5,64.8,48.1
'042239',1951,9,81.5,63.8,46.1
'042239',1951,10,66.8,52.4,37.9
'042239',1951,11,54.5,43.1,31.7
'042239',1951,12,47.3,37.1,26.9
'042239',1952,1,42.4,35.2,27.9
'042239',1952,2,48.8,39.5,30.2
'042239',1952,3,44,36.3,28.6
'042239',1952,4,58.3,46.5,34.8
'042239',1952,5,70.9,58.3,45.6
'042239',1952,6,70,56.7,43.4
'042239',1952,7,82.2,67.1,51.9
'042239',1952,8,83.2,68.8,54.3
'042239',1952,9,80.2,64.5,48.9
'042239',1952,10,77.2,58.5,39.7
'042239',1952,11,51.9,40.3,28.8
'042239',1952,12,46.4,36.6,26.8
'042239',1953,1,55.3,44.5,33.7
'042239',1953,2,52.3,39.7,27.2
'042239',1953,3,53.2,41.6,30.1
'042239',1953,4,58.1,45.6,33.1
'042239',1953,5,57.8,46.2,34.6
'042239',1953,6,72.3,59.1,45.9
'042239',1953,7,83.2,70.3,57.5
'042239',1953,8,81.5,65.9,50.4
'042239',1953,9,81.5,63.2,44.8
'042239',1953,10,68.3,53,37.7
'042239',1953,11,60.6,47.7,34.8
'042239',1953,12,52.4,40.8,29.2
'042239',1954,1,50,38,25.9
'042239',1954,2,57.3,44.4,31.5
'042239',1954,3,49.2,39.4,29.6
'042239',1954,4,64.4,51.8,39.1
'042239',1954,5,69.1,54.5,39.9
'042239',1954,6,73.4,59.6,45.8
'042239',1954,7,83.3,69.7,56.1
'042239',1954,8,79.5,63.5,47.4
'042239',1954,9,80.4,64.4,48.4
'042239',1954,10,71.7,54.5,37.4
'042239',1954,11,63.3,48.1,32.9
'042239',1954,12,52,39.6,27.2
'042239',1955,1,41.5,31.5,21.6
'042239',1955,2,45.9,36.4,26.8
'042239',1955,3,56.4,44.2,32
'042239',1955,4,59.2,46,32.8
'042239',1955,5,62.3,49.9,37.4
'042239',1955,6,72.3,58.5,44.7
'042239',1955,7,78.3,63.9,49.5
'042239',1955,8,81.1,67,53
'042239',1955,9,81.3,63,44.6
'042239',1955,10,72.6,56.1,39.5
'042239',1955,11,58.8,45.5,32.2
'042239',1955,12,52.8,42.5,32.1
'042239',1956,1,53,41.4,29.8
'042239',1956,2,45.5,35.3,25.2
'042239',1956,3,59.4,45.1,30.8
'042239',1956,4,54.9,43.5,32.1
'042239',1956,5,64.7,51.9,39.2
'042239',1956,6,77.6,62.3,47.1
'042239',1956,7,81.7,67.4,53.1
'042239',1956,8,82.9,65.2,47.6
'042239',1956,9,84.7,66.8,49
'042239',1956,10,66.4,50,33.5
'042239',1956,11,57.5,44.7,31.9
'042239',1956,12,53.1,41.5,29.9
'042239',1957,1,43.9,36.9,29.8
'042239',1957,2,57,44.7,32.4
'042239',1957,3,53.8,44,34.2
'042239',1957,4,58.5,46.2,33.8
'042239',1957,5,58.8,48.3,37.9
'042239',1957,6,77.5,63.6,49.6
'042239',1957,7,85.5,70.2,54.9
'042239',1957,8,83.1,68,52.9
'042239',1957,9,78.5,62.5,46.6
'042239',1957,10,61.2,50.1,38.9
'042239',1957,11,51.2,40.4,29.5
'042239',1957,12,53.8,42,30.1
'042239',1958,1,51.2,40.2,29.2
'042239',1958,2,52.5,42.9,33.3
'042239',1958,3,45.5,37.6,29.7
'042239',1958,4,58.9,47.9,37
'042239',1958,5,71,58.7,46.3
'042239',1958,6,74.8,62.2,49.5
'042239',1958,7,82.2,67.8,53.5
'042239',1958,8,84.8,69.4,53.9
'042239',1958,9,79.9,65,50.1
'042239',1958,10,73.7,56.2,38.8
'042239',1958,11,59.1,44.1,29.1
'042239',1958,12,60.2,45.3,30.3
'042239',1959,1,55,41.7,28.4
'042239',1959,2,46.7,36.4,26.1
'042239',1959,3,60,46.8,33.6
'042239',1959,4,65.1,51.4,37.6
'042239',1959,5,65.2,51.7,38.2
'042239',1959,6,80.9,64.7,48.6
'042239',1959,7,88.2,73.4,58.6
'042239',1959,8,82.9,67.1,51.2
'042239',1959,9,77.5,62.9,48.3
'042239',1959,10,71.9,55.1,38.4
'042239',1959,11,59.5,47.6,35.7
'042239',1959,12,51.1,41.3,31.5
'042239',1960,1,43.8,32.4,21
'042239',1960,2,47.7,38.1,28.5
'042239',1960,3,60,47.6,35.3
'042239',1960,4,63.7,49.6,35.4
'042239',1960,5,67.1,52.4,37.7
'042239',1960,6,83,67.6,52.2
'042239',1960,7,86.4,70.5,54.7
'042239',1960,8,86.8,70.3,53.8
